Name,Location,Address,Phone,10:00 AM,11:00 AM,12:00 PM,01:00 PM,02:00 PM,03:00 PM,04:00 PM,05:00 PM,06:00 PM,07:00 PM,08:00 PM,09:00 PM,10:00 PM
Shudh,Sarjapur Road,"1/1, Junnasandra Main Road, Sarjapur Road, Bangalore",+91 7022711118,10,10,10,10,10,10,10,10,10,10,10,10,10
Sri Vishnu Grand,Sarjapur Road,"No 528, BVR complex, Ambalipura Village, Sarjapur Road, Bangalore",+91 9739839156,10,10,10,10,10,10,10,10,10,10,10,10,10
Maa Bhook Lagi,HSR,"1554, Ground Floor, 19th Main, Sector - 1, HSR, Bangalore",+91 8340766542,10,10,10,10,10,10,10,10,10,10,10,10,10
Punjabi Nukkad Pure Veg,Bellandur,"5/1 SLN Building, Doddakanelli-Kaadubeesanahalli Road, Near Prestige Trinity Center, Bellandur, Bangalore",+91 8095371313,10,10,10,10,10,10,10,10,10,10,10,10,10
The Nosh House,Sarjapur Road,"29, 1st Floor, 4th Cross, Kasavanahalli, Off Sarjapur Main Road, Sarjapur Road, Bangalore",+91 9980299910,10,10,10,10,10,10,10,10,10,10,10,10,10
The Rasaganga,Bellandur,"35, Outer Ring Road","+91 9845483535
+91 9448851909",10,10,10,10,10,10,10,10,10,10,10,10,10
Sri Krishna Sagar,HSR,"809/A, 27th Main, 100 Feet Road, 1st Sector, HSR, Bangalore","080 22581133
080 22583933",10,10,10,10,10,10,10,10,10,10,10,10,10
Poha On Wheels,Bellandur,"Opposite BBMP Office, Besides Choice Bakery, Yamalur, Bellandur, Bangalore","+91 8426835616
+91 8952893799",10,10,10,10,10,10,10,10,10,10,10,10,10
InnerChef,Sarjapur Road,"779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore","080 42109812
+91 9447265007",10,10,10,10,10,10,10,10,10,10,10,10,10
Parrattha Ssinghh,Marathahalli,"Outer Ring Road, Opposite to JP Morgan, Kodbisanhalli, Marathahalli, Bangalore",+91 7483073451,10,10,10,10,10,10,10,10,10,10,10,10,10
The Grub Central,HSR,"191, First Floor, 27th Main, Sector 2, HSR, Bangalore","+91 9739933456
+91 8130319935",10,10,10,10,10,10,10,10,10,10,10,10,10
Juice Junction Food Court,HSR,"2628, 27th Main Road, 1st Sector, HSR Layout, Bangalore, HSR, Bangalore","+91 7406888368
+91 9880680378",10,10,10,10,10,10,10,10,10,10,10,10,10
Aashish Foods,Marathahalli,"6,Opposite Prestige Tech Park, Kadubeesanhalli Bus Stop, Marathahalli, Bangalore",+91 8660201520,10,10,10,10,10,10,10,10,10,10,10,10,10
Shri Vishnu Grand,Marathahalli,"18, Prakruthi Enclave, Panathur Road, Kadubeesanahalli, Marathahalli, Bangalore","080 42013256
+91 8884565894",10,10,10,10,10,10,10,10,10,10,10,10,10
Dad's Cookhouse,Sarjapur Road,"House 3/3, 1st Floor, Kasavanahalli Sarjapur Road, Bangalore",+91 6363704806,10,10,10,10,10,10,10,10,10,10,10,10,10
Ritomi's Lov,Bellandur,"33/1, 2nd Main Road, Outer Ring Road, Bellandur, Bangalore","+91 7760611450
+91 7899976696",10,10,10,10,10,10,10,10,10,10,10,10,10
Southinn,Sarjapur Road,"65/1A, Sarjapur Main Road, Kaikondrahalli, Sarjapur Road, Bangalore","+91 9019534447
080 42134447",10,10,10,10,10,10,10,10,10,10,10,10,10
Deli Chats and Sweets,Marathahalli,"Outer Ring Road, Opposite to JP Morgan, Kodbisanhalli, Marathahalli, Bangalore",+91 7483073451,10,10,10,10,10,10,10,10,10,10,10,10,10
Dhaba Shaba,Sarjapur Road,"3, Ground Floor, Lingappa Reddy Complex, Kaikondarahalli, Sarjapur Road, Bangalore",+91 9341690358,10,10,10,10,10,10,10,10,10,10,10,10,10
Dosa Time,Sarjapur Road,"51, Kaikondrahalli Village, Sarjapur Road, Bangalore",+91 9538111999,10,10,10,10,10,10,10,10,10,10,10,10,10
Cafe At The Atelier,Sarjapur Road,"42/7 Ammashree Park, Radha Reddy Layout Road, Doddakannelli, Sarjapur Road, Bangalore",080 49653281,10,10,10,10,10,10,10,10,10,10,10,10,10
Warm Oven,Sarjapur Road,"65/1A, Near Wipro Corporate Office, Kaikondrahalli, Sarjapur Road, Bangalore","+91 8880233233
+91 8197170008",10,10,10,10,10,10,10,10,10,10,10,10,10
Domino's Pizza,Bellandur,"102, 1st Floor, The Bay, RMZ Ecospace, Varthur Hobli, Bellandur, Bangalore","080 41534484
18602100000",10,10,10,10,10,10,10,10,10,10,10,10,10
Beijing Bites,Sarjapur Road,"No.48, Second Floor, Shanthi Archade, Shub Enclave, Harlur Main Road, Sarjapur Road, Bangalore","080 40932488
080 40932588",10,10,10,10,10,10,10,10,10,10,10,10,10
Nanda's,Sarjapur Road,"14, Opposite Fire Station, Kaikondrahali, Sarjapur Road, Bangalore","080 41106606
+91 9686111499",10,10,10,10,10,10,10,10,10,10,10,10,10
Panchavati Gaurav Thali,Brigade Road,"5th Floor, Garuda Mall, Magrath Road, Brigade Road, Bangalore","+91 8041410033
+91 9731693987",10,10,10,10,10,10,10,10,10,10,10,10,10
Empire Restaurant,Church Street,"36, Off MG Road, Church Street, Bangalore",080 49653264,10,10,10,10,10,10,10,10,10,10,10,10,10
Tiger Trail - Ramada Hotel,Shivajinagar,"Ramada Hotel, 11, Park Road, Shivajinagar, Bangalore","+91 8022865566
+91 9902000018",10,10,10,10,10,10,10,10,10,10,10,10,10
Cafe Treat - The Pride Hotel,Richmond Road,"The Pride Hotel, 93, Richmond Road, Bangalore","+91 9916548932
+91 9686601306",10,10,10,10,10,10,10,10,10,10,10,10,10
Banjara Melting Pot,Cunningham Road,"G 117-118, Prestige Centre Point, Cunningham Road, Bangalore","080 41231772
080 41231774",10,10,10,10,10,10,10,10,10,10,10,10,10
Fatso's,Brigade Road,"17/1, Raheja Plaza, Commissariat Road, D'souza Circle, Opposite Lifestyle, Brigade Road, Bangalore","+91 8041244440
+91 7019438017",10,10,10,10,10,10,10,10,10,10,10,10,10
Green Theory,Residency Road,"15, Convent Road, Off Residency Road, Residency Road, Bangalore","+91 8861435956
080 41663836",10,10,10,10,10,10,10,10,10,10,10,10,10
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,MG Road,"Level 5, 1 MG Mall, Swami Vivekananda Road, Trinity Circle, MG Road, Bangalore",080 22086644,10,10,10,10,10,10,10,10,10,10,10,10,10
Glen's Bakehouse,Lavelle Road,"24/1, Lavelle Road, Bangalore","080 41124894
080 41126825",10,10,10,10,10,10,10,10,10,10,10,10,10
Skoolroom,Ulsoor,"34/1-2, Meanee Avenue Tank Road, Sivanchetty Road, Ulsoor, Bangalore",+91 9743538476,10,10,10,10,10,10,10,10,10,10,10,10,10
eat.fit,Church Street,"24, Church Street, Bangalore",080 49652510,10,10,10,10,10,10,10,10,10,10,10,10,10
Kerala Pavilion,Domlur,"765, 1st Floor, 1st Main, Domlur Layout, Domlur, Bangalore","080 25356829
+91 8147812267",10,10,10,10,10,10,10,10,10,10,10,10,10
Donne Biriyani House,Indiranagar,"8/ 9, 17th F Cross, 2nd Stage, Indiranagar, Bengaluru",+91 9739406501,10,10,10,10,10,10,10,10,10,10,10,10,10
Leon Grill,St. Marks Road,"Ground Floor, House of Lords, Shanthala Nagar, Sampangi Rama Nagar, St. Marks Road, Bangalore",+91 8022232900,10,10,10,10,10,10,10,10,10,10,10,10,10
FreshMenu,Richmond Road,"Richmond Town, Richmond Road, Bangalore",+91 9019245000,10,10,10,10,10,10,10,10,10,10,10,10,10
Sri Ganesh Juice Junction,Koramangala 8th Block,"537, 1st Main, Near Bethani School, 8th Block, Koramangala 8th Block, Bangalore",+91 9591274301,10,10,10,10,10,10,10,10,10,10,10,10,10
Burger King,Indiranagar,"Next to CMH Metro Station, CMH Road, Indiranagar, Bangalore",080 33558000,10,10,10,10,10,10,10,10,10,10,10,10,10
Shanmukha,Old Airport Road,"6th Cross Road, HAL 2nd Stage, Old Airport Road, Bangalore",080 49653049,10,10,10,10,10,10,10,10,10,10,10,10,10
Dunkin' Donuts,Brigade Road,"Mota Royal Arcade, Brigade Road, Bangalore",080 40944712,10,10,10,10,10,10,10,10,10,10,10,10,10
Khan Saheb Grills and Rolls,Indiranagar,"Ground Floor, Sri Shiva Sai Complex, 13th Cross, 7th Main, 2nd Stage, HAL, Off Double Road, Indiranagar, Bangalore",+91 8880121121,10,10,10,10,10,10,10,10,10,10,10,10,10
Pathaan Sir,Frazer Town,"67, Near HDFC Bank, Coles Road, Frazer Town, Bangalore",+91 9739956197,10,10,10,10,10,10,10,10,10,10,10,10,10
Punjabi Dhaba,Ejipura,"385, 8th Main, 4th Block, Vivek Nagar, Ejipura, Bangalore",+91 9900296710,10,10,10,10,10,10,10,10,10,10,10,10,10
Warm Oven,Domlur,"Domlur, Bangalore","+91 8880233233
+91 8197170008",10,10,10,10,10,10,10,10,10,10,10,10,10
Firangi Bake,Indiranagar,"Shop 6, First Floor, Binnamangala First Stage, Indiranagar, Bangalore",+91 7710090007,10,10,10,10,10,10,10,10,10,10,10,10,10
Behrouz Biryani,Vasanth Nagar,"10th Main, Vasanth Nagar, Bangalore",091 7700050050,10,10,10,10,10,10,10,10,10,10,10,10,10
Corner House Ice Cream,Residency Road,"Shop 45/3, Gopalkrishna Complex, Near Mayo Hall, Off Residency Road, Residency Road, Bangalore","080 25583262
+91 9900545172",10,10,10,10,10,10,10,10,10,10,10,10,10
Chai Point,Indiranagar,"970, 12th Main, 5th Cross, Indiranagar, Bangalore","+91 8880141000
+91 9945166112",10,10,10,10,10,10,10,10,10,10,10,10,10
Empire Restaurant,Frazer Town,"34, Mosque Road, Frazer Town, Bangalore",080 49653301,10,10,10,10,10,10,10,10,10,10,10,10,10
Pizza Hut,Shanti Nagar,"3, Shaughnes Say Road, Opposite Divya Shree Chambers, Shanti Nagar, Bangalore","080 39883988
080 60009000",10,10,10,10,10,10,10,10,10,10,10,10,10
